Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode;
14/03/2025;SHIPTRANSFER;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225631;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
14/03/2025;SHIPTRANSFER;27397;Module hacheur PAN-HC-CVS-AUX;225632;MATRECTRANS;1;FRD1;FOS1A03401;FRD1;;;;41575;;SparePart;HA;;REPAIRED;150;150;FOS1;;;FALSE
14/03/2025;SHIPTRANSFER;43306;Tiroir AGC2K-001 (CRT);225633;MATRECTRANS;1;FRD1;FOS1A01101;FRD1;;;;41575;;SparePart;TE;;REPAIRED;0;0;FOS1;;;FALSE
14/03/2025;SHIPTRANSFER;55115;Caisse navette 120 x 80 x 84  poids 40 kg à vide, axess indutries;225634;MATRECTRANS;1;FRD1;;FRD1;;;;41575;;StoreEquipment;MA;;NEW;295,02;295,02;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225641;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225635;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;14,58;14,58;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225639;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;55213;Contact auxiliaire ABB CA5-40E / ABB CA4-40E;225640;MATRECTRANS;1;FRD1;FOS1H04407;FRD1;;;;41575;;SparePart;FC;;;18,33;18,33;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;27397;Module hacheur PAN-HC-CVS-AUX;225636;MATRECTRANS;1;FRD1;FOS1A03401;FRD1;;;;41575;;SparePart;HA;;REPAIRED;150;150;FOS1;;;FALSE
14/03/2025;SHIPRECEIPT;43306;Tiroir AGC2K-001 (CRT);225637;MATRECTRANS;1;FRD1;FOS1A01101;FRD1;;;;41575;;SparePart;TE;;REPAIRED;0;0;FOS1;;;FALSE
