Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
10/03/2025;SHIPRECEIPT;ITM4603;3370490-Vis tête hexa. M6-65;222605;MATRECTRANS;4;FOS1;FHIO1G01303;FOS1;FOS1I03305;;;41388;;SmallPart;MA;;;1,43;5,72;FHIO1;;
10/03/2025;TRANSFER;41912;TRIOP 1516 C-01-F-K03-T-0, ALSTOM;222606;MATRECTRANS;1;FOS1;;FOS1;FOS1C02202;;;;;SparePart;FC;;REPAIRED;0;0;;;
10/03/2025;TRANSFER;ITM5040;Module KM-02;222607;MATRECTRANS;1;PPO1;;PPO1;PPO1D02402;;;;;SparePart;DA;;NEW;1737,68;1737,68;;;
10/03/2025;TRANSFER;ITM5040;Module KM-02;222608;MATRECTRANS;1;PPO1;;PPO1;PPO1D02402;;;;;SparePart;DA;;NEW;1737,68;1737,68;;;
10/03/2025;SHIPTRANSFER;ITM4594;3781114-Rondelle M12 Trep plus L3, à plateau, avec rondelle plate, Inox;222609;MATRECTRANS;15;FOS1;FHIO1G01303;FOS1;FOS1I05310;;;41393;;SmallPart;MA;;;5,37;80,55;FHIO1;;
10/03/2025;TRANSFER;44520;Leuchtenglas links, beheizbar;222151;MATRECTRANS;4;DKS1;DKS1000EIN;DKS1;DKS1E07103;;;;;SparePart;KB;;;325;1300;DKS1;;
10/03/2025;SHIPRECEIPT;ITM4594;3781114-Rondelle M12 Trep plus L3, à plateau, avec rondelle plate, Inox;222611;MATRECTRANS;15;FOS1;FHIO1G01303;FOS1;FOS1I05310;;;41393;;SmallPart;MA;;;5,37;80,55;FHIO1;;
10/03/2025;SHIPTRANSFER;ITM4752;01236.200.030- Vis à tête hexagonale M20x30 filetée revêtu zinc;222612;MATRECTRANS;12;FOS1;FHIO1G01306;FOS1;FOS1I04405;;;41394;;SmallPart;MA;;;0,87;10,44;FHIO1;;
10/03/2025;SHIPRECEIPT;ITM4752;01236.200.030- Vis à tête hexagonale M20x30 filetée revêtu zinc;222613;MATRECTRANS;12;FOS1;FHIO1G01306;FOS1;FOS1I04405;;;41394;;SmallPart;MA;;;0,87;10,44;FHIO1;;
10/03/2025;TRANSFER;14131;Willtek 4202R Mobile Service Tester incl. DC Option V;222614;MATRECTRANS;1;DKS1;Mestec;DKS1;DKS1000EIN;;;41395;;;TECH-TOOL;;;0;0;XKS4;;
10/03/2025;TRANSFER;14131;Willtek 4202R Mobile Service Tester incl. DC Option V;222615;MATRECTRANS;1;DKS1;Mestec;DKS1;DKS1000EIN;;;41395;;;TECH-TOOL;;;0;0;XKS4;;
10/03/2025;STAGETRANSFER;ITM1260;Bogenwinkel 90° m.*Dichtungssatz IP6;222154;MATRECTRANS;7;DKS1;DKS1000EIN;DKS1;DKS1000EIN;;;41396;;SparePart;JA;;;44,4;310,8;DKS1;;
10/03/2025;TRANSFER;16827;Multischalter 8-p Spm 3,6kv 1650a;221879;MATRECTRANS;1;DKR1;DKR1A15002;DKR1;DKR1A10302;;;39451;;SparePart;FB;;REPAIRED;4690;4690;DKR1;;
10/03/2025;SHIPRECEIPT;ITM2347;Vehicle Control Unit DCB 0913R (VCU Lite);222616;MATRECTRANS;1;DKR1;DKS1000EIN;DKR1;DKR1E20310;;;41332;;SparePart;JE;;NEW;3880;3880;DKS1;;
10/03/2025;ISSUE;12749;KC Trockenperlen Orange CHAMELEON 2050 25 kg;140967;MATUSETRANS;-1;HKO1;;;;ORT1600;;41397;WO1944305;Lubricant;TECH-CONS;PM-FS;;10,5;10,5;HKO1;490-002;NEW
10/03/2025;ISSUE;30597;Filtermatte Klima klein (Steuerung), Elsässer;140968;MATUSETRANS;-2;HKO1;;;;ORT1600;;41397;WO1944305;SparePart;LC;PM-FS;;1;2;HKO1;490-002;NEW
10/03/2025;ISSUE;30598;Filtermatte Klima groß (Führerstand), Elsässer;140969;MATUSETRANS;-2;HKO1;;;;ORT1600;;41397;WO1944305;SparePart;LC;PM-FS;;0,8;1,6;HKO1;490-002;NEW
10/03/2025;RECEIPT;TL57334;Benning TA 5 Sicherheits-Messleitung Lamellenstecker 4 mm Buchse 4 mm 40.00 m Schwarz;222617;MATRECTRANS;1;DKS1;;DKS1;DKS1000EIN;;PO73292;;;;TECH-TOOL;;;182,64;182,64;;;
