Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;TRANSFER;12640_ITEM;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222284.0;MATRECTRANS;3.0;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378.0;;SparePart;FB;;;288;864;PPO1;;
2025-03-10;INSERTITEM;12639_ITEM;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;3127531.0;INVTRANS;0.0;MICHAL.NAWROT-ST;;;;;;;;SparePart;FB;;;0;0;;;
2025-03-10;INSERTITEM;12640_ITEM;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;3127532.0;INVTRANS;0.0;MICHAL.NAWROT-ST;;;;;;;;SparePart;FB;;;0;0;;;
2025-03-10;SHIPRECEIPT;44484_ITEM;Schlauchleitung 700mm, Rensmann;222150.0;MATRECTRANS;2.0;VZL1;H2;VZL1;Cargo a.s SOKV Budejovice;;;41167.0;;SparePart;QE;;;125;250;PPO1;;
2025-03-10;TRANSFER;56592_ITEM;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);222285.0;MATRECTRANS;2.0;MARCIN.LIPINSKI-ST;;MARCIN.LIPINSKI-ST;;;;41379.0;;SparePart;FB;;;715,08;1430,16;PPO1;;
2025-03-10;STAGETRANSFER;29045_ITEM;Prüfgerät ELP 18+ Rev. 2.0;222582.0;MATRECTRANS;1.0;DKS1;;DKS1;;;;41381.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;ISSUE;14028_ITEM;Zentralknoten SP-Z;141471.0;MATUSETRANS;-1.0;HKO1;;;;;;;WO1955704;SparePart;JC;CM-FS;;0;0;HKO1;285-109;NEW
2025-03-10;STAGETRANSFER;30093_ITEM;CPA1002 Target Base AddOn - Abgleich;222583.0;MATRECTRANS;1.0;DKS1;;DKS1;;;;41382.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;TRANSFER;29045_ITEM;Prüfgerät ELP 18+ Rev. 2.0;222286.0;MATRECTRANS;1.0;XKS4;;XKS4;Funkwerk;;;41381.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;TRANSFER;30093_ITEM;CPA1002 Target Base AddOn - Abgleich;222287.0;MATRECTRANS;1.0;XKS4;;XKS4;Nextsense;;;41382.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;SHIPRECEIPT;13831_ITEM;IGBT Phasenbaustein SIBAC BB S3P-3000WL - Erzeugnis-Nummer: 450 375.9007.00, Siemens AG;221878.0;MATRECTRANS;1.0;DLP1;DKS1B05102;DLP1;DLP1000EIN;;;41333.0;;SparePart;FD;;;24125;24125;DKS1;;
2025-03-10;ISSUE;29200_ITEM;Bedienfeld Zug/Bremskraft;141472.0;MATUSETRANS;-1.0;VZL1;;;;ORT1071;;41366.0;WO1958296;SparePart;GC;CM-FS;;2462,3;2462,3;VZL1;187-504;NEW
2025-03-10;STAGETRANSFER;30006_ITEM;Netzsimulator Willtek 4202R;222584.0;MATRECTRANS;1.0;DKS1;;DKS1;;;;41383.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;TRANSFER;30006_ITEM;Netzsimulator Willtek 4202R;222288.0;MATRECTRANS;1.0;XKS4;;XKS4;Mestec;;;41383.0;;Unknown;TECH-TOOL;;;0;0;DKS1;;
2025-03-10;ISSUE;13831_ITEM;IGBT Phasenbaustein SIBAC BB S3P-3000WL - Erzeugnis-Nummer: 450 375.9007.00, Siemens AG;141237.0;MATUSETRANS;-1.0;DLP1;;;;ORT1053;;41330.0;WO1956360;SparePart;FD;CM-FS;;24125;24125;DLP1;189-801;NEW
2025-03-10;RECEIPT;ITEM2316;JTP38-Joint torique-JN 38 - 97-1-38;222585.0;MATRECTRANS;694.0;FST1+2;;FST1+2;FST2A03003;;PO71155;;;SmallPart;MA;;;0,24;166,56;;;
2025-03-10;ISSUE;44484_ITEM;Schlauchleitung 700mm, Rensmann;141238.0;MATUSETRANS;-2.0;VZL1;;;;ORT1410;;41387.0;WO1949613;SparePart;QE;PM-FS;;125;250;VZL1;189-159;NEW
2025-03-10;ISSUE;ITEM3646;Motoventilateur RH;141342.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1883124;SparePart;MA;REVI-SO;;0;0;FOS1;BB27140;NEW
2025-03-10;ISSUE;ITEM3646;Motoventilateur RH;141343.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1883124;SparePart;MA;REVI-SO;;0;0;FOS1;BB27140;NEW
2025-03-10;ISSUE;41876_ITEM;MOTO POMPE 6,4M3/H 20M H20, ALSTOM;141344.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1908134;SparePart;HE;REVI-SO;;1388,61;1388,61;FOS1;BB27137;NEW
2025-03-10;ISSUE;41876_ITEM;MOTO POMPE 6,4M3/H 20M H20, ALSTOM;141345.0;MATUSETRANS;-1.0;FOS1;;;;ORT1576;;41386.0;WO1908134;SparePart;HE;REVI-SO;;1388,61;1388,61;FOS1;BB27137;NEW
